Numero	Clasificación	Pregunta	Respuesta		
1	DOCUMENTO TRIBUTARIO ELECTRÓNICO	¿Qué es un Documento Tributario Electrónico?	Es un documento electrónico estructurado que respalda las operaciones tributarias, siendo generado como un archivo electrónico por el emisor, quien lo transmite al Ministerio de Hacienda, para recepcionarlo y almacenarlo en su Base de Datos.		
2	DOCUMENTO TRIBUTARIO ELECTRÓNICO	¿Cuál es la diferencia entre factura digital y Documento Tributario Electrónico?	"La factura digital: es una imagen o archivo PDF, no cuenta con un formato estructurado de datos, ni facilita el tratamiento automatizado; además no siempre cuentan con el respaldo de una firma electrónica. Es necesaria su impresión física para considerarse válida fiscalmente.
Los Documentos Tributarios Electrónicos (DTES): tienen un formato de datos estructurados en base al lenguaje JSON y demás especificaciones técnicas determinadas por la DGII; facilitando el tratamiento automatizado de la información, asimismo tienen el respaldo de una firma electrónica simple o certificada por el emisor. No necesita su impresión física para ser válido fiscalmente."		
3	DOCUMENTO TRIBUTARIO ELECTRÓNICO	¿Cuáles son los sistemas para la emisión de DTE?	"a) Sistema de Transmisión DTE: Sistema mediante el cual el contribuyente emisor de DTE transmite hacia la Administración Tributarias sus Documentos Tributarios Electrónicos, mismos que fueron previamente generados y firmados en el sistema de facturación interno del contribuyente que cumple con los requisitos funcionales y técnicos previstos por esta Administración.
b) Sistema de Facturación DTE: Es una solución Web desarrollada por la Administración Tributaria, puesta a disposición de forma gratuita para los contribuyentes que cumplan parámetros determinados por la DGII, donde podrán gestionar su información como Emisores de DTE, emitir y generar documentos por sus operaciones, descargar las Representaciones Gráficas, así como transmitir la información hacia la DGII."		
4	DOCUMENTO TRIBUTARIO ELECTRÓNICO	¿Cómo puedo consultar los Documentos Tributarios Electrónicos que recibo?	Una vez transmitido el DTE por el emisor, usted cuenta con un servicio de consulta a través de la página Web del MH, ingresando al portal “Facturación Electrónica”, opción “Consulta pública de los DTE”; donde se encontrarán los estados de los Documentos Tributarios Electrónicos siguientes: Transmitido Satisfactoriamente, Rechazado, Error en Datos e Invalidado.		
5	DOCUMENTO TRIBUTARIO ELECTRÓNICO	¿Cómo harán los contribuyentes que no cuentan con un Sistema de Facturación Electrónica para emitir DTE?	La Administración Tributaria habilitará una solución gratuita en la página Web del Ministerio de Hacienda denominada Sistema de Facturación DTE para emitir los Documentos Tributarios Electrónicos, siempre y cuando cumplan con los parámetros establecidos por esta cartera de Estado.		
6	DOCUMENTO TRIBUTARIO ELECTRÓNICO	¿Debo entregar una impresión del DTE emitido?	"De conformidad a la Ley de Firma Electrónica los documentos electrónicos deben generarse, enviarse y almacenarse en formato electrónico, lo que excluye la posibilidad de ser almacenados en papel. El emisor debe enviar por un medio electrónico el DTE a su cliente, el medio es un acuerdo entre partes, por ejemplo: correo electrónico, URL para descarga de los documentos, WhatsApp, Telegram, etc. Si el cliente lo solicita podrá entregar impresa una versión legible además del DTE.
Los Documentos Tributarios Electrónicos tienen la misma validez legal que los documentos en formato preimpresos tradicionales. Es importante recordar que el DTE no necesita de la impresión de la versión legible para ser válido fiscalmente."		
7	GENERALES	¿Cómo puedo obtener los manuales y guías para ser emisor de DTE?	El portal de la facturación electrónica contiene una sección "Documentos Generales" con toda la documentación inherente a la implementación de la facturación electrónica de los contribuyentes.		
8	DOCUMENTO TRIBUTARIO ELECTRÓNICO	¿Los contribuyentes con un nivel mínimo de emisión de documentos tributarios en un período mensual, ¿Deben ingresar al Programa?	Para los contribuyentes con bajo volumen transaccional de emisión de documentos fiscales, la Administración Tributaria dispone de una solución gratuita para la emisión de Documentos Tributarios Electrónicos; Para aplicar a emitir DTE por este medio el contribuyente deberá cumplir con los parámetros que defina la DGII y realizar un proceso para poder ser autorizado como emisor de DTE y así poder generar y transmitir sus DTE.		
9	GENERALES	¿Quiénes serían los primeros en implementar la Emisión de Documentos Tributarios Electrónicos?	"La incorporación de los contribuyentes a emitir Documentos Tributarios Electrónicos, ha sido definida por medio de tres fases de implementación:
1. Plan Piloto, esta fue la primera fase que a la fecha se finalizó con éxito, en el cual se incorporaron contribuyentes que pertenecen a la categoría de grandes.
2. Antes de la fecha establecida por la Administración Tributaria para ser emisor de DTE, todos los contribuyentes que cumplan con los requisitos establecidos por la Administración Tributaria pueden solicitar iniciar el proceso para ser emisor de DTE.
3. De acuerdo a fecha establecida por la Administración Tributaria para ser emisor de DTE: La Administración Tributaria notificará a los contribuyentes que serán obligados a ser emisores de DTE conforme los parámetros que estime convenientes."		
12	DOCUMENTO TRIBUTARIO ELECTRÓNICO	¿Puedo ser Emisor de los DTE antes de estar obligado según el plan de incorporación?	"Aquellos contribuyentes que desean iniciar operaciones para la emisión de Documentos Tributarios Electrónicos (DTE), podrán verificar la información general y técnica en la página del Ministerio de Hacienda, específicamente en el documento “Manual de Requisitos para ser Emisor de DTE”.
siguiendo los siguientes pasos:
1- Completa los requisitos mínimos para ingresar al Sistema seleccionado que se encuentran en nuestra página Web.
2- Envía tu Solicitud de ingreso voluntario al ambiente de pruebas.
3- DGII Emitirá aprobación y podrás realizar el proceso de auto acreditación.
4- Ejecuta las pruebas mínimas requeridas.
5- Presenta la solicitud de Autorización para ser emisore de DTE.
6- DGII te emitirá la Resolución de Autorización.
7- Inicia operaciones emitiendo DTE."		
11	GENERALES	¿En la Factura Electrónica se utilizará NIT y DUI, o solo DUI para las facturas?	Cuando dentro de los DTE se solicite identificación por medio de NIT se deberá ingresar dicho número; recordando que con la homologación del DUI con el NIT, se aceptará la estructura del DUI (9 dígitos) como número de NIT, siempre y cuando la persona natural haya realizado el proceso de homologación previamente.		
12	DOCUMENTO TRIBUTARIO ELECTRÓNICO	¿Qué datos se deben incorporar o completar en los anexos de la declaración de IVA de los DTE?	"Los DTE deben ingresarse en los anexos IVA de la siguiente manera: 


1. En la columna de Clase de Documento deberá colocar el número 4.
2. En la columna Número de resolución será el Número de Control.
3. En la columna Serie de documento deberá colocar el Sello de Recepción.
4. En la columna Número de documento será el Código de Generación.
5. En la columna de Tipo de documento, seguirá colocando el código establecido para el documento emitido o recibido, según el caso. Ej. 01 para Factura, 03 para CCF, etc.


Ver Manual de usuario para carga de archivos de los anexos de la declaración del IVA."		
13	DOCUMENTO TRIBUTARIO ELECTRÓNICO	¿Qué debo hacer cuando el estado de mi DTE consultado sea Rechazado, Invalidado o Error en datos?	"El estado invalidado significa que el emisor ha dejado sin efecto el DTE. Si la invalidación ocurrió por causas no permitidas por la normativa o si según el receptor dicha invalidación produce afectación, éste podrá contactar al emisor para que le emita el nuevo documento legal correspondiente, además podrá dar aviso al Ministerio de Hacienda para el seguimiento respectivo.
El estado Rechazado significa que el Documento Tributario transmitido no cumple con la estructura de datos o formato electrónico establecido por la DGII. En este caso, a efecto que el receptor pueda acreditar sus deducciones legalmente, deberá contactar al emisor para que corrija el documento legal correspondiente, además podrá dar aviso al Ministerio de Hacienda para el seguimiento respectivo.
Si la consulta a los DTE genera un Error en datos significa que los datos proporcionados no son correctos o el DTE a que hace referencia no existe en la base de datos de la DGII. En el primer caso, se debe verificar que los datos ingresados sean correctos, en el segundo, deberá contactar al emisor para que le emita el documento legal correspondiente, además podrá dar aviso al Ministerio de Hacienda para el seguimiento respectivo."		
14	DOCUMENTO TRIBUTARIO ELECTRÓNICO	¿Qué debo hacer si no puedo transmitir DTE?	"Se entiende que existe contingencia cuando se susciten causas de fuerza mayor que dificulten la transmisión y recepción de los Documentos Tributarios Electrónicos (DTE).
Dentro de las fallas contempladas se encuentran:


Cuando estas circunstancias se susciten, el emisor deberá seguir los siguientes pasos:
1. Durante la contingencia deberá generar sus documentos electrónicos consignando en lo siguiente:
i. En Campo “Modelo de Facturación” la opción 2-Modelo Facturación Diferido
ii. En campo “Tipo de transmisión” la opción 2-Contingencia
iii. En campo “Tipo de contingencia” cualquiera de las opciones del catálogo CAT-005 Tipo de contingencia
iv. En campo “Motivo de la contingencia” podrá ampliar el tipo de contingencia seleccionado.
2. Superada la contingencia, deberá enviar dentro de un plazo máximo de 24 horas el “Evento de Contingencia”, este es un informe donde se notifica a la Administración Tributaria respecto a la contingencia presentada, además de notificar que generó documentos electrónicos durante este tiempo.
3. Finalmente deberá transmitir los documentos electrónicos hacia la Administración Tributaria en un plazo máximo de 72 horas, después de enviado el evento de contingencia, para que dichos documentos obtengan el sello de recepción, se conviertan en DTE y surtan los efectos fiscales."		
15	DOCUMENTO TRIBUTARIO ELECTRÓNICO	¿Cómo puedo consultar mis Documentos Tributarios Electrónicos?	"Documento Tributario Electrónico
Plazo para transmitir el Evento de Invalidación ElectrónicoComprobante de Crédito
Nota de Crédito Electrónica
Nota de Débito Electrónico
Nota de Remisión Electrónica
Comprobante de Liquidación Electrónico.
Documentos Contables de Liquidación Electrónico
 Podrá realizarse dentro de un plazo máximo de un día siguiente del otorgamiento del Sello de Recepción del documento.

Ejemplo: Si el DTE obtuvo Sello de Recepción a las 7:30:30 (de la mañana) el contribuyente emisor tendrá hasta las 23:59:59 del día siguiente para poder enviar el Evento de Invalidación para dicho DTE.   Factura Electrónica
Factura de Exportación Electrónica Podrá realizarse dentro del plazo de tres meses contados a partir del otorgamiento del Sello de Recepción del documento.

Ejemplo: Si el DTE obtuvo el Sello de Recepción el 11 de noviembre 2021 a las 7:30:30 (de la mañana) el contribuyente emisor tendrá el 11 de febrero 2022 a las 23:59:59 para poder enviar el Evento de Invalidación para dicho DTE  16FIRMA ELECTRÓNICA ¿Qué es Firma Electrónica? La Firma Electrónica es una herramienta tecnológica que permite garantizar la autoría e integridad de los documentos electrónicos, posibilitando que éstos gocen de una característica que únicamente era propia de los documentos en papel. De acuerdo a la Ley, la Firma Electrónica emitida por una autoridad certificadora registrada tiene la equivalencia jurídica de una firma manuscrita.
 17FIRMA ELECTRÓNICA ¿Cómo obtengo el Certificado de Firma Electrónica? El Ministerio de Hacienda está proveyendo dicho certificado, lo anterior se obtiene tanto en el “Ambiente para pruebas” como en el “Ambiente productivo” mediante el proceso de acreditamiento que se encuentra dentro del “Sistema DTE”, que consta de 4 pasos que son: 1. Verificación de información, 2. Generación de Certificados, 3. Selección de DTE a Emitir y 4. Resumen.
 18DOCUMENTO TRIBUTARIO ELECTRÓNICO ¿Qué es el Código de Generación? El Código de Generación es colocado en el DTE por el Emisor y debe cumplir con el estándar UUID V.4, dicho estándar es reconocido internacionalmente como un generador de códigos seguros, únicos e irrepetibles; es generado de manera automática por el sistema cumpliendo las especificaciones técnicas emitidas por DGII. Ejemplo: FF54E9DB-79C3-42CE-B432-EC522C97EFB9.
 19DOCUMENTO TRIBUTARIO ELECTRÓNICO ¿Cuándo debo iniciar a emitir Documentos Tributarios Electrónicos? La Administración Tributaria será la encargada de establecer un Plan de implementación escalonado y notificará a cada contribuyente la fecha en que deberá iniciar a emitir DTE tomando en cuenta los parámetros que estime oportunos.
 20DOCUMENTO TRIBUTARIO ELECTRÓNICO ¿Cómo puedo saber si debo emitir DTE? El Ministerio de Hacienda notificará a los contribuyentes de manera escalonada para ser emitir de DTE. Sin embargo cualquier contribuyente podrá implementar facturación electrónica antes de la fecha establecida por la Administración Tributaria para ser emisor de DTE.
 21GENERALES ¿El Evento de Invalidación de DTE equivale a la anulación de documentos tributarios? 
El Evento de Invalidación consiste en un mensaje de datos firmado electrónicamente que se relaciona con un DTE, que se genera y transmite a esta Dirección General en ocasión de la ocurrencia de errores, ajustes o rescisión de operaciones, dejando sin efecto la emisión de dicho documento. Salvo en el caso de rescisión, la transmisión del Evento de Invalidación no anula la operación o transacción subyacente, la cual, subsiste y debe documentarse mediante la emisión de un nuevo DTE.
En el caso de Facturas Electrónicas y Facturas de Exportación electrónicas, éstas pueden dejarse sin efecto mediante el Evento de Invalidación de forma similar a como ocurre con la anulación de facturas tradicionales. El resto de documentos electrónicos como: Factura, Comprobante de Crédito Fiscal, Nota de Remisión, Nota de Crédito, Nota de Débito, Comprobante de Retención, Comprobante de Liquidación, Documento contable de Liquidación Y Facturas de Exportación, únicamente pueden dejarse sin efectos mediante el citado Evento de Invalidación, cuando ocurran errores de un tiempo corto (un día siguiente al otrogamiento del Sello de Recepción del DTE a invalidar.
Asimismo, recordando que para el CCF y el Comprobante de Retención, se pueden utilizar Nota de Crédito Electrónica y Notas de Debito Electrónicas para modificar su contenido.

 22DOCUMENTO TRIBUTARIO ELECTRÓNICO ¿Cómo puedo saber si estoy obligado a emitir DTE? El Ministerio de Hacienda pondrá a disposición un sistema de consulta donde el contribuyente podrá conocer la fecha en la que estará obligado a emitir DTE. Sin embargo cualquier contribuyente podrá implementar facturación electrónica antes de la fecha de obligación a la que este obligado de manera voluntaria.
 23GENERALES ¿Qué pasos debo seguir para empezar a emitir DTE? 
Los pasos para ser emisor de DTE se encuentran en la sección ""Pasos para ser emisor DTE"" en nuestro sitio WEB."		
16	FIRMA ELECTRÓNICA	¿Qué es Firma Electrónica?	La Firma Electrónica es una herramienta tecnológica que permite garantizar la autoría e integridad de los documentos electrónicos, posibilitando que éstos gocen de una característica que únicamente era propia de los documentos en papel. De acuerdo a la Ley, la Firma Electrónica emitida por una autoridad certificadora registrada tiene la equivalencia jurídica de una firma manuscrita.		
17	FIRMA ELECTRÓNICA	¿Cómo obtengo el Certificado de Firma Electrónica?	El Ministerio de Hacienda está proveyendo dicho certificado, lo anterior se obtiene tanto en el “Ambiente para pruebas” como en el “Ambiente productivo” mediante el proceso de acreditamiento que se encuentra dentro del “Sistema DTE”, que consta de 4 pasos que son: 1. Verificación de información, 2. Generación de Certificados, 3. Selección de DTE a Emitir y 4. Resumen.		
18	DOCUMENTO TRIBUTARIO ELECTRÓNICO	¿Qué es el Código de Generación?	El Código de Generación es colocado en el DTE por el Emisor y debe cumplir con el estándar UUID V.4, dicho estándar es reconocido internacionalmente como un generador de códigos seguros, únicos e irrepetibles; es generado de manera automática por el sistema cumpliendo las especificaciones técnicas emitidas por DGII. Ejemplo: FF54E9DB-79C3-42CE-B432-EC522C97EFB9.		
19	DOCUMENTO TRIBUTARIO ELECTRÓNICO	¿Cuándo debo iniciar a emitir Documentos Tributarios Electrónicos?	La Administración Tributaria será la encargada de establecer un Plan de implementación escalonado y notificará a cada contribuyente la fecha en que deberá iniciar a emitir DTE tomando en cuenta los parámetros que estime oportunos.		
20	DOCUMENTO TRIBUTARIO ELECTRÓNICO	¿Cómo puedo saber si debo emitir DTE?	El Ministerio de Hacienda notificará a los contribuyentes de manera escalonada para ser emitir de DTE. Sin embargo cualquier contribuyente podrá implementar facturación electrónica antes de la fecha establecida por la Administración Tributaria para ser emisor de DTE.		
21	GENERALES	¿El Evento de Invalidación de DTE equivale a la anulación de documentos tributarios?	"El Evento de Invalidación consiste en un mensaje de datos firmado electrónicamente que se relaciona con un DTE, que se genera y transmite a esta Dirección General en ocasión de la ocurrencia de errores, ajustes o rescisión de operaciones, dejando sin efecto la emisión de dicho documento. Salvo en el caso de rescisión, la transmisión del Evento de Invalidación no anula la operación o transacción subyacente, la cual, subsiste y debe documentarse mediante la emisión de un nuevo DTE.
En el caso de Facturas Electrónicas y Facturas de Exportación electrónicas, éstas pueden dejarse sin efecto mediante el Evento de Invalidación de forma similar a como ocurre con la anulación de facturas tradicionales. El resto de documentos electrónicos como: Factura, Comprobante de Crédito Fiscal, Nota de Remisión, Nota de Crédito, Nota de Débito, Comprobante de Retención, Comprobante de Liquidación, Documento contable de Liquidación Y Facturas de Exportación, únicamente pueden dejarse sin efectos mediante el citado Evento de Invalidación, cuando ocurran errores de un tiempo corto (un día siguiente al otrogamiento del Sello de Recepción del DTE a invalidar.
Asimismo, recordando que para el CCF y el Comprobante de Retención, se pueden utilizar Nota de Crédito Electrónica y Notas de Debito Electrónicas para modificar su contenido."		
22	DOCUMENTO TRIBUTARIO ELECTRÓNICO	¿Cómo puedo saber si estoy obligado a emitir DTE?	El Ministerio de Hacienda pondrá a disposición un sistema de consulta donde el contribuyente podrá conocer la fecha en la que estará obligado a emitir DTE. Sin embargo cualquier contribuyente podrá implementar facturación electrónica antes de la fecha de obligación a la que este obligado de manera voluntaria.		
23	GENERALES	¿Qué pasos debo seguir para empezar a emitir DTE?	Los pasos para ser emisor de DTE se encuentran en la sección "Pasos para ser emisor DTE" en nuestro sitio WEB.		
